date,date_number,country,state,fips,total_confirmed,total_deaths,total_recovered,total_hospitalized,total_tested,active,tests_rate,hospitalize_rate,mortality_rate,incident_rate
2020-04-12,0,US,Pennsylvania,42.0,22938,557,,2097.0,124890.0,22381.0,992.175013,9.142035051,2.428284942,182.2284446
2020-04-12,0,US,Puerto Rico,72.0,897,44,,,6716.0,853.0,228.94871769999997,,4.905239688,30.57876709
2020-04-12,0,US,Rhode Island,44.0,2665,63,35.0,201.0,20350.0,2602.0,1920.969339,7.542213884,2.363977486,251.56674640000003
2020-04-12,0,US,South Carolina,45.0,3320,82,,496.0,31425.0,3238.0,623.5149976,14.93975904,2.469879518,65.87334263
2020-04-12,0,US,South Dakota,46.0,730,6,197.0,43.0,8553.0,724.0,1162.262941,5.890410959,0.8219178079999999,99.19933903
2020-04-12,0,US,Tennessee,47.0,5508,106,1504.0,567.0,70677.0,5402.0,1076.584377,10.29411765,1.924473493,83.90037425
2020-04-12,0,US,Texas,48.0,13677,283,2014.0,1338.0,124533.0,13394.0,541.8115230000001,9.782847116000001,2.069167215,59.50516088
2020-04-12,0,US,Utah,49.0,2303,18,,195.0,44234.0,2285.0,1543.468991,8.467216674,0.781589231,80.3592053
2020-04-12,0,US,Vermont,50.0,727,27,15.0,34.0,9841.0,700.0,1611.7171720000001,4.6767537830000006,3.71389271,119.06497150000001
2020-04-12,0,US,Virginia,51.0,5274,141,,751.0,39985.0,5133.0,505.6764505,14.23966629,2.673492605,66.69845192
2020-04-12,0,US,Washington,53.0,10609,506,,642.0,93615.0,10103.0,1240.031828,6.051465737000001,4.769535299999999,140.5276682
2020-04-12,0,US,West Virginia,54.0,593,6,83.0,81.0,16257.0,587.0,1228.8000439999998,13.65935919,1.0118043840000002,44.82244115
2020-04-12,0,US,Wisconsin,55.0,3341,144,,974.0,39257.0,3197.0,758.6522632,29.15294822,4.3100868,64.56573888
2020-04-12,0,US,Wyoming,56.0,270,0,137.0,40.0,5459.0,270.0,1097.860188,14.81481481,0.0,54.29973453
2020-04-12,0,US,American Samoa,60.0,0,0,,,3.0,0.0,5.391707554,,,0.0
2020-04-12,0,US,Northern Mariana Islands,69.0,11,2,,,38.0,9.0,68.9104889,,18.18181818,19.947773100000003
2020-04-12,0,US,Recovered,,0,0,32988.0,,,-32988.0,,,,
2020-04-12,0,US,Virgin Islands,,51,1,43.0,3.0,350.0,50.0,326.2855651,5.882352941000001,1.960784314,47.54446806
2020-04-13,1,US,Alabama,1.0,3734,99,,457.0,29182.0,3635.0,622.3638523089759,12.23888591322978,2.6513122656668453,79.63493333293523
2020-04-13,1,US,Alaska,2.0,277,8,85.0,32.0,7830.0,269.0,1309.9143620482844,11.552346570397113,2.888086642599278,46.34052085407085
2020-04-13,1,US,American Samoa,60.0,0,0,,,3.0,,5.3917075537822825,,,0.0
2020-04-13,1,US,Arizona,4.0,3705,122,,525.0,43347.0,3583.0,595.5307782951309,14.170040485829961,3.292847503373819,50.90182789082197
2020-04-13,1,US,Arkansas,5.0,1410,29,391.0,130.0,20804.0,1381.0,803.5451155974812,9.21985815602837,2.0567375886524824,54.46061396810462
2020-04-13,1,US,California,6.0,23931,714,,3015.0,190882.0,23217.0,486.83682312715933,12.59872132380594,2.9877564665078773,61.035047905282056
2020-04-13,1,US,Colorado,8.0,7691,306,,1472.0,37534.0,7385.0,662.3476017295789,19.139253673124433,3.9786763749837473,135.7200246417166
2020-04-13,1,US,Connecticut,9.0,13381,602,,1760.0,44309.0,12779.0,1242.7891499337925,13.152978103280773,4.498916373963082,375.31340394195473
2020-04-13,1,US,Delaware,10.0,1758,41,213.0,201.0,11820.0,1717.0,1213.8464761482248,11.433447098976107,2.3321956769055747,180.53655711240089
2020-04-13,1,US,Diamond Princess,88888.0,49,0,0.0,,,49.0,,,0.0,
2020-04-13,1,US,District of Columbia,11.0,1955,52,507.0,295.0,10934.0,1903.0,1549.2760173942859,15.089514066496164,2.659846547314578,277.0106652648463
2020-04-13,1,US,Florida,12.0,21019,499,,2833.0,196207.0,122520.0,924.083459185368,2.302896300571456,0.405628398865216,579.3871934514303
2020-04-13,1,US,Georgia,13.0,13315,465,,2589.0,57021.0,12850.0,562.3709427181686,19.44423582425836,3.492301915133308,131.31949811985785
2020-04-13,1,US,Grand Princess,99999.0,103,0,0.0,,,103.0,,,0.0,
2020-04-13,1,US,Guam,66.0,133,5,58.0,12.0,905.0,128.0,551.0598006442224,9.022556390977444,3.7593984962406015,80.9844789897034
2020-04-13,1,US,Hawaii,15.0,504,9,310.0,44.0,18844.0,495.0,1330.9921132148504,8.730158730158731,1.7857142857142858,35.59860035344325
2020-04-13,1,US,Idaho,16.0,1426,27,,132.0,14881.0,1399.0,924.0004793551308,9.256661991584851,1.893408134642356,88.54409539415472
2020-04-13,1,US,Illinois,17.0,22025,798,,3680.0,105768.0,21227.0,901.2536413610727,16.708286038592508,3.623155505107832,187.6759648568341
2020-04-13,1,US,Indiana,18.0,8359,350,,,44539.0,8009.0,680.6088147391332,,4.187103720540734,127.7354471902022
2020-04-13,1,US,Iowa,19.0,1710,41,741.0,142.0,18696.0,1669.0,713.3936451645029,8.304093567251464,2.3976608187134505,65.249418765046
2020-04-13,1,US,Kansas,20.0,1390,62,,309.0,13864.0,1328.0,568.549035303844,22.230215827338128,4.460431654676259,57.00253599771662
2020-04-13,1,US,Kentucky,21.0,2018,113,607.0,667.0,25866.0,1905.0,755.5860524177965,33.052527254707634,5.599603567888999,58.948915710937655
2020-04-13,1,US,Louisiana,22.0,21016,884,,2134.0,108091.0,20132.0,2351.20177949242,10.154168252759805,4.206318995051388,457.1412661351334
2020-04-13,1,US,Maine,23.0,698,19,273.0,124.0,12306.0,679.0,1048.2058865116533,17.76504297994269,2.722063037249284,59.45455133960132
2020-04-13,1,US,Maryland,24.0,8936,262,603.0,1975.0,51751.0,8674.0,870.7400811160737,22.10161145926589,2.9319606087735006,150.3532949093396
2020-04-13,1,US,Massachusetts,25.0,26867,844,,2340.0,122049.0,26023.0,1778.1622116818567,8.709569360181638,3.141400230766368,391.4319997808785
2020-04-13,1,US,Michigan,26.0,25635,1602,447.0,3986.0,82644.0,24033.0,1037.2952605155676,15.549054027696506,6.249268578115858,321.7543197729608
2020-04-13,1,US,Minnesota,27.0,1621,70,842.0,361.0,38427.0,1551.0,776.8608006637493,22.27020357803825,4.318322023442319,32.771003666066505
2020-04-13,1,US,Mississippi,28.0,2942,98,,549.0,30984.0,2844.0,1070.1829161724588,18.66077498300476,3.3310673011556764,101.61625804865007
2020-04-13,1,US,Missouri,29.0,4515,123,,988.0,45428.0,4392.0,775.2938156716256,21.882613510520486,2.724252491694352,77.05493479258142
2020-04-13,1,US,Montana,30.0,394,7,171.0,47.0,9098.0,387.0,1050.5931382341766,11.928934010152284,1.7766497461928934,45.497218780420496
2020-04-13,1,US,Nebraska,31.0,814,17,,,10972.0,797.0,719.3471066144267,,2.0884520884520885,53.36753051259054
2020-04-13,1,US,Nevada,32.0,2990,114,,,25464.0,2876.0,844.1020095820031,,3.812709030100335,99.1150254732245
2020-04-13,1,US,New Hampshire,33.0,985,23,239.0,152.0,11207.0,962.0,843.8065637263318,15.431472081218276,2.3350253807106602,74.16342154639392
2020-04-13,1,US,New Jersey,34.0,64584,2443,,7781.0,129469.0,62141.0,1457.624752454068,12.047875634832153,3.7826706304967175,727.1179742833693
2020-04-13,1,US,New Mexico,35.0,1262,26,295.0,80.0,30515.0,1236.0,1829.9487926175973,6.339144215530904,2.060221870047544,75.68066119231223
2020-04-13,1,US,New York,36.0,195749,10058,23887.0,42712.0,478357.0,185691.0,2837.057652188998,21.819779411389074,5.138212711176047,1160.9555172357552
2020-04-13,1,US,North Carolina,37.0,4886,94,,313.0,63388.0,4792.0,639.1288456448584,6.406058125255831,1.9238641015145312,49.264585407660405
2020-04-13,1,US,North Dakota,38.0,331,8,127.0,40.0,10781.0,323.0,1777.8166215382792,12.084592145015106,2.416918429003021,54.58281251545964
2020-04-13,1,US,Northern Mariana Islands,69.0,11,2,,,38.0,9.0,68.91048890178442,,18.181818181818183,19.947773103148123
2020-04-13,1,US,Ohio,39.0,6975,274,,2033.0,65112.0,6701.0,582.7171630931477,29.14695340501792,3.92831541218638,62.422475312917825
2020-04-13,1,US,Oklahoma,40.0,2069,99,865.0,457.0,22859.0,1970.0,624.9668501550457,22.087965200579987,4.784920251329145,56.566622029432146
2020-04-13,1,US,Oregon,41.0,1584,53,,369.0,31121.0,1531.0,776.6514918366867,23.29545454545455,3.345959595959596,39.530091034006354
2020-04-13,1,US,Pennsylvania,42.0,24292,589,,2243.0,129792.0,23703.0,1031.1184185386498,9.233492507821506,2.4246665568911574,192.985150264584
2020-04-13,1,US,Puerto Rico,72.0,903,45,,,6863.0,858.0,233.9599537466319,,4.983388704318936,30.783307333995136
